Ticker,Name,Sector,MarketCap,PE,ForwardPE,PB,PS,EVEBITDA,DivYield,ROE,ROA,OperatingMargin,DebtToEquity,CurrentPrice,LastUpdated,Value_Score,Quality_Score,Yield_Score,Total_Score
3020.SR,Yamama Cement Co.,,4839750144.0,10.042016,12.131979,0.9738408,3.400575,10.454,419.00000000000006,9.841999999999999,3.5389999999999997,25.869999999999997,36.972,23.9,2026-04-26T07:51:28.910041+00:00,,0.8698247359271645,0.06405346874815322,
1180.SR,The Saudi National Bank,,235342069760.0,9.846153,10.961327,1.2678126,6.064357,10.232,578.0,0.0,0.0,72.612,46.34,39.68,2026-04-26T07:51:28.961826+00:00,,0.5114609716741885,0.25561149127397786,
4220.SR,Emaar The Economic City,,8899933184.0,17.443037,14.8240735,0.95229095,7.8191476,44.251,0.0,-0.122,0.169,20.563999,49.464,10.08,2026-04-26T07:51:28.971897+00:00,,-0.2691761456036588,-0.44074408746769944,
1182.SR,Amlak International Finance Co.,,1060019968.0,16.25,14.8240735,0.8273667,3.698617,10.232,486.00000000000006,5.2059997,1.4540000000000002,26.96,239.482,10.4,2026-04-26T08:12:08.950563+00:00,,-0.04823831670667389,0.14477288704519886,
3010.SR,Arabian Cement Co.,,2227000064.0,14.094936,13.177515,0.86394846,2.096594,6.735,672.0,6.026,3.7350000000000003,26.575001999999998,0.921,22.27,2026-04-26T08:12:09.028148+00:00,,0.8499506244713714,0.36885963037729563,
4270.SR,Saudi Printing and Packaging Co,,514483712.0,17.443037,14.8240735,38.487804,0.8979358,-23.995,0.0,-182.054,-5.845000000000001,-35.711,5497.093,7.89,2026-04-26T08:12:09.053733+00:00,,-18.044031691926264,-0.44074408746769944,
3080.SR,Eastern Province Cement Co.,,1964240000.0,9.71915,9.477179,0.83905804,1.5564686,5.673,524.0,8.737001,5.106,15.158,15.939,22.84,2026-04-26T08:12:09.073528+00:00,,1.0220245886180586,0.19055404966143363,
4020.SR,Saudi Real Estate Co.,,5167499776.0,17.443037,17.012344,0.97529906,2.6633096,9.246,0.0,7.965999999999999,4.364,28.166000000000004,54.944,13.78,2026-04-26T08:12:09.135356+00:00,,0.977933615258382,-0.44074408746769944,
3050.SR,Southern Province Cement Co.,Basic Materials,2941400064.0,17.443037,12.358824,0.95944834,3.3912952,26.753,451.0,-1.538,-0.643,-49.575,41.226,21.01,2026-04-26T08:16:33.100963+00:00,,-1.5558692808088197,0.10260602674077197,
4110.SR,Batic Investments and Logistics,Industrials,1350000000.0,17.443037,14.8240735,3.2281203,2.4819221,24.797,0.0,6.419,1.498,7.6530000000000005,49.119,2.25,2026-04-26T08:16:33.140450+00:00,,0.030746960680575586,-0.44074408746769944,
2060.SR,National Industrialization Co.,Basic Materials,6635627008.0,17.443037,10.020202,0.8418909,2.666279,-440.537,0.0,-13.604,-1.143,-17.256,59.892,9.92,2026-04-26T08:16:33.147068+00:00,,-1.609514109470858,-0.44074408746769944,
2020.SR,SABIC Agri-Nutrients Co.,Basic Materials,65502474240.0,15.154186,17.963448,3.0892193,5.00903,11.354,496.0,21.365000000000002,9.6269995,26.983,0.965,137.6,2026-04-26T08:16:33.181986+00:00,,2.594125672236402,0.1568205614178922,
2081.SR,Alkhorayef Water and Power Tech,Utilities,4413499904.0,17.250341,14.8240735,4.8197837,1.7839885,14.597,135.0,30.231002,6.789000000000001,12.3330005,107.635,126.1,2026-04-26T08:16:33.359631+00:00,,1.9125243616542649,-0.2781004834363388,
2280.SR,Almarai Co.,Consumer Defensive,41528950784.0,16.98374,15.248175,1.9587435,1.8491962,9.918,276.0,12.041,4.838,14.207,66.95,41.78,2026-04-26T08:56:13.064221+00:00,,0.9798973430094289,-0.10822827478136217,
